doc_id,company,manager,relation,sentence,match_manager,match_manager_ratio,match_company,match_comp_ratio
150180118,Amundi Pioneer,Matthew Shulkin,portfolio_manager,"Matthew Shulkin, Vice President and Portfolio Manager, joined Amundi Pioneer in 2013 as a member of the U.S. fixed income team and has twenty years of investment experience.","Matthew Shulkin,",0.967741935,Amundi Pioneer,1
150180118,Amundi Pioneer,Matthew Shulkin,vice_president,"Matthew Shulkin, Vice President and Portfolio Manager, joined Amundi Pioneer in 2013 as a member of the U.S. fixed income team and has twenty years of investment experience.","Matthew Shulkin,",0.967741935,Amundi Pioneer,1
150180118,Amundi Pioneer,Matthew Shulkin,other,"Prior to joining Amundi Pioneer, Mr. Shulkin worked an analyst at MAST Capital Management (2008 2013).",Mr. Shulkin,0.692307692,"Amundi Pioneer,",0.965517241
150180118,MAST Capital Management,Matthew Shulkin,analyst,"Prior to joining Amundi Pioneer, Mr. Shulkin worked an analyst at MAST Capital Management (2008 2013).",Mr. Shulkin,0.692307692,MAST Capital Management,1
150414429,JPMorgan,Brad A. Friedlander,other,Mr. Friedlander's previous experience includes four years on the trading desk of J.P. Morgan in New York.,Mr. Friedlander,0.622222222,Morgan,0.857142857
150414429,Washington Mutual Bank,Brad A. Friedlander,portfolio_manager,"Prior to co-founding Angel Oak in 2009, Mr. Friedlander spent five years as a portfolio manager with Washington Mutual Bank in Seattle, Washington, where he managed over $8 billion across residential mortgage-backed securities, asset-backed securities, U.S. government and agency portfolios.",Mr. Friedlander,0.7,Washington Mutual Bank,1
150684652,Autonomous Research,Richard Perrott,analyst,"Prior to joining MSIM Limited, Mr. Perrott was an equity research analyst at Autonomous Research covering specialty financials from 2013 to 2015 and previously covered financials at Berenberg Bank from 2011 to 2013.",Mr. Perrott,0.692307692,Autonomous Research,1
153897021,Wellington Management Company LLP,Ann C. Gallo,managing_director,"Ann C. Gallo, Senior Managing Director and Global Industry Analyst of Wellington Management, has been involved in portfolio management and securities analysis for the health science portion of the Fund since August 2003.",Ann C. Gallo,0.96,Wellington Management,0.75
153897021,Wellington Management Company LLP,Ann C. Gallo,portfolio_manager,"Ann C. Gallo, Senior Managing Director and Global Industry Analyst of Wellington Management, has been involved in portfolio management and securities analysis for the health science portion of the Fund since August 2003.",Ann C. Gallo,0.96,Wellington Management,0.75
153897021,Wellington Management,Brian Barbetta,managing_director,"Brian Barbetta, Managing Director and Global Industry Analyst of Wellington Management, has been involved in portfolio management and securities analysis for the technology portion of the Fund since December 2017.",Brian Barbetta,0.965517241,"Wellington Management,",0.976744186
153897021,Wellington Management,Brian Barbetta,portfolio_manager,"Brian Barbetta, Managing Director and Global Industry Analyst of Wellington Management, has been involved in portfolio management and securities analysis for the technology portion of the Fund since December 2017.",Brian Barbetta,0.965517241,"Wellington Management,",0.976744186
153897021,Wellington Management Company LLP,Jean M. Hynes,analyst,"Jean M. Hynes, CFA, Senior Managing Director and Global Industry Analyst of Wellington Management, has been involved in portfolio management and securities analysis for the health science portion of the Fund since August 2003.",Jean M. Hynes,0.962962963,Wellington Management,0.75
153897021,Wellington Management Company LLP,Jean M. Hynes,managing_director,"Jean M. Hynes, CFA, Senior Managing Director and Global Industry Analyst of Wellington Management, has been involved in portfolio management and securities analysis for the health science portion of the Fund since August 2003.",Jean M. Hynes,0.962962963,Wellington Management,0.75
153897021,Wellington Management Company LLP,Jean M. Hynes,portfolio_manager,"Jean M. Hynes, CFA, Senior Managing Director and Global Industry Analyst of Wellington Management, has been involved in portfolio management and securities analysis for the health science portion of the Fund since August 2003.",Jean M. Hynes,0.962962963,Wellington Management,0.75
154193782,Vanguard,Christine D. Franquin,portfolio_manager,"Christine D. Franquin, Principal of Vanguard.","Christine D. Franquin,",0.976744186,Vanguard.,0.941176471
154201038,Bishop Street Capital Management,Eric Lo,portfolio_manager,"Eric Lo, Bishop Street Capital Management, Assistant Vice President and Portfolio Manager, serves as","Eric Lo,",0.933333333,"Bishop Street Capital Management,",0.984615385
154201038,Bishop Street Capital Management,Eric Lo,vice_president,"Eric Lo, Bishop Street Capital Management, Assistant Vice President and Portfolio Manager, serves as","Eric Lo,",0.933333333,"Bishop Street Capital Management,",0.984615385
154201038,Bishop Street Capital Management,Joshua Lam,portfolio_manager,"Joshua Lam, Bishop Street Capital Management, Vice President, Senior Portfolio Manager and Director of Fixed Income, serves as","Joshua Lam,",0.952380952,"Bishop Street Capital Management,",0.984615385
154201038,Bishop Street Capital Management,Joshua Lam,vice_president,"Joshua Lam, Bishop Street Capital Management, Vice President, Senior Portfolio Manager and Director of Fixed Income, serves as","Joshua Lam,",0.952380952,"Bishop Street Capital Management,",0.984615385
154786532,Heitman Real Estate Securities LLC,Jacques Perdrix,vice_president,Jacques Perdrix is a Senior Vice President in Heitman Real Estate Securities LLC's (,Jacques Perdrix,1,Heitman Real Estate Securities LLC,0.971428571
155193714,PGIM Fixed Income,Malcolm Dalrymple,portfolio_manager,"Malcolm Dalrymple is Principal and corporate bond portfolio manager for PGIM Fixed Income's Investment Grade Corporate Team and is responsible for intermediate and short corporate strategies as well as corporate security selection in intermediate multi-sector, Core, and Core Plus portfolios.",Malcolm Dalrymple,1,PGIM Fixed Income,0.944444444
155193714,PGIM Fixed Income,Malcolm Dalrymple,portfolio_manager,Malcolm Dalrymple is Principal and portfolio manager for PGIM Fixed Income's Investment Grade Corporate Team.,Malcolm Dalrymple,1,PGIM Fixed Income,0.944444444
156238490,"Cavanal Hill Investment Management, Inc",Richard A. Williams,portfolio_manager,"Richard A. Williams is a Senior Vice President of Cavanal Hill Investment Management, Inc. and has been a portfolio manager of the Fund since 2005.",Richard A. Williams,1,"Cavanal Hill Investment Management, Inc.",0.987341772
156238490,"Cavanal Hill Investment Management, Inc",Richard A. Williams,vice_president,"Richard A. Williams is a Senior Vice President of Cavanal Hill Investment Management, Inc. and has been a portfolio manager of the Fund since 2005.",Richard A. Williams,1,"Cavanal Hill Investment Management, Inc.",0.987341772
156681612,Achievement Asset Management LLC,Joseph Scoby,chief_investment_officer,"Prior to joining the Adviser, Mr. Scoby was a Chief Executive Officer, Chief Investment Officer, and Head of Trading at Achievement Asset Management LLC (formerly known as PEAK6 Advisors LLC).",Mr. Scoby,0.571428571,Achievement Asset Management LLC,1
156681612,Cargill,Josh Taylor,other,"Before that, Mr. Taylor was a Senior Trader in the Global Capital Markets group at Cargill and a Vice President in the Capital Markets group at Koch Industries.",Mr. Taylor,0.666666667,Cargill,1
156681612,Koch Industries,Josh Taylor,vice_president,"Before that, Mr. Taylor was a Senior Trader in the Global Capital Markets group at Cargill and a Vice President in the Capital Markets group at Koch Industries.",Mr. Taylor,0.666666667,Koch Industries.,0.967741935
156681612,Black River Asset Management LLC,Josh Taylor,portfolio_manager,"From 2005 to 2011, Mr. Taylor was a Senior Portfolio Manager of the Quantitative Strategies Fund at Black River Asset Management.",Mr. Taylor,0.666666667,Black River Asset Management.,0.875
156681612,Riley Capital Management,Josh Taylor,other,"Prior to joining the Adviser, Mr. Taylor was the co-founder of Riley Creek Capital Management where he worked and developed quantitative investment strategies.",Mr. Taylor,0.666666667,Riley Creek Capital Management,0.833333333
156681612,Citadel Investment Group,Matthew Greenawalt,other,"Prior to joining the Adviser, Mr. Greenawalt spent over five years as Senior Trader on the Asian Convertibles and Capital Structure Arbitrage team at Citadel Investment Group.",Mr. Greenawalt,0.75,Citadel Investment Group.,0.979591837
156853057,Illinois Bell,Andrew A. Johnson,other,"Prior to joining the firm, Mr. Johnson was a manager of financial planning and analysis at Illinois Bell.  ",Mr. Johnson,0.647058824,Illinois Bell.,0.962962963
157270245,Tennessee Pension,Lamar G. Villere,other,"Most recently, Mr. Villere was head of Private Equity, Tennessee Pension.  ",Mr. Villere,0.64516129,Tennessee Pension.,0.971428571
159253760,Gurtin Municipal Bond Management,Bill Gurtin,portfolio_manager,"Bill Gurtin, Michael Johnson, Myles Grenier, Jim Grandinetti and Brian Hannibal of Gurtin Municipal Bond Management, are the portfolio managers of the Funds and are jointly responsible for the day-to-day management of the Funds.","Bill Gurtin,",0.956521739,"Gurtin Municipal Bond Management,",0.984615385
159253760,Gurtin Municipal Bond Management,Jim Grandinetti,portfolio_manager,"Bill Gurtin, Michael Johnson, Myles Grenier, Jim Grandinetti and Brian Hannibal of Gurtin Municipal Bond Management, are the portfolio managers of the Funds and are jointly responsible for the day-to-day management of the Funds.","Myles Grenier,",0.962962963,"Gurtin Municipal Bond Management,",0.984615385
159253760,Gurtin Municipal Bond Management,Myles Grenier,other,"Bill Gurtin, Michael Johnson, Myles Grenier, Jim Grandinetti and Brian Hannibal of Gurtin Municipal Bond Management, are the portfolio managers of the Funds and are jointly responsible for the day-to-day management of the Funds.",Jim Grandinetti,1,"Gurtin Municipal Bond Management,",0.984615385
159537996,Janus Capital Group,Stephen Lew,analyst,"From 2005 to 2010, Stephen was the Senior Asia ex-Japan Analyst at Janus Capital Group.",Stephen,0.818181818,Janus Capital Group.,0.974358974
159538829,Thomas J Herzfeld Advisors Inc,Thomas J. Herzfeld,other,"The fund's subadviser is Thomas J. Herzfeld Advisors, Inc. ('Herzfeld').",Thomas J. Herzfeld,1,"Thomas J. Herzfeld Advisors, Inc.",0.952380952
159958021,Awad Asset Management Inc /Adv,Marc Shapiro,analyst,"Prior to joining Palisade, Mr. Shapiro was a senior equity analyst at Awad Asset Management and a small cap analyst at Schroders.",Mr. Shapiro,0.869565217,Awad Asset Management,0.842105263
163756061,Strome Susskind Investment Management,Kyle Rosen,other,"From 1995-1999, Kyle managed the option portfolios for Strome Susskind Investment Management, becoming a partner of the firm in 1997.",Kyle,0.545454545,"Strome Susskind Investment Management,",0.986666667
163756061,"Rosen Capital Advisors, LLC",Kyle Rosen,portfolio_manager,"Kyle Rosen is the Portfolio Manager and President of Rosen Capital Advisors, LLC and has 30 years of active experience in the options markets with a 20-year track record.",Kyle Rosen,1,"Rosen Capital Advisors, LLC",1
163757743,"Capital Wealth Planning, LLC",Josh Smith,other,"Josh Smith is the Senior Portfolio Manager of Capital Wealth Planning, LLC, in which capacity he is responsible for the oversight and management of the firm's investment strategies.  ",Josh Smith,1,"Capital Wealth Planning, LLC,",0.98245614
164824072,Bear Stearns,Joshua Duitz,other,"Mr. Joshua Duitz joined the Adviser in February 2007, after eight years at Bear Stearns, where Mr. Duitz was a Managing Director Principal who specialized in trading international equities.",Joshua Duitz,1,"Bear Stearns,",0.96
165230065,Standard Life Investments,Brian Fox,other,Brian has 12 years' investment experience at Standard Life Investments with 21 years' experience in the industry.,Brian,0.666666667,Standard Life Investments,1
165230065,Standard Life Investments,Brian Fox,vice_president,Brian joined Standard Life Investments in 2006 as Vice President and senior research analyst covering the IT hardware and semiconductor sectors.,Brian,0.666666667,Standard Life Investments,1
165230065,Standard Life Investments,Brian Fox,other,"Previously with Standard Life plc, Brian Fox joined Aberdeen Standard Investments as a result of the merger between Aberdeen Asset Management and Standard Life in August 2017.",Brian Fox,1,Standard Investments,0.833333333
165230065,Standard Life Investments,Brian Fox,other,"Prior to joining Standard Life Investments, Brian worked at Brown Brothers Harriman and Sanford C Bernstein.",Brian,0.666666667,"Standard Life Investments,",0.980392157
165230065,Standard Life Investments,George Westervelt,other,George has 8 years' investment experience at Standard Life Investments with 19 years' experience in the industry.,George,0.592592593,Standard Life Investments,1
165230065,Standard Life Investments,George Westervelt,other,George Westervelt joined Standard Life Investments in 2009.,George Westervelt,1,Standard Life Investments,1
165230065,Standard Life Investments,George Westervelt,other,"Previously with Standard Life plc, George Westervelt joined Aberdeen Standard Investments as a result of the merger between Aberdeen Asset Management and Standard Life in August 2017.",George Westervelt,1,Standard Investments,0.833333333
165230065,Standard Life Investments,George Westervelt,other,"Prior to joining Standard Life Investments, George worked at a number of companies including MFS Investment Management, Citigroup and Smith Barney.",George,0.6,"Standard Life Investments,",0.980392157
165230065,Standard Life Investments,Matthew Kence,other,Matt Kence joined Standard Life Investments in 2010.,Matt Kence,0.869565217,Standard Life Investments,1
165230065,Standard Life Investments,Matthew Kence,other,"Previously with Standard Life plc, Matthew Kence joined Aberdeen Standard Investments as a result of the merger between Aberdeen Asset Management and Standard Life in August 2017.",Matthew Kence,1,Standard Investments,0.833333333
165230065,Gannett Welsh & Kotler,Matthew Kence,other,"Prior to joining Standard Life Investments, Matt worked at a number of companies including MFS Investment Management and Gannett Welsh & Kotler.",Matt,0.5,Gannett Welsh & Kotler.,0.977777778
165230065,Standard Life Investments,Matthew Kence,other,"Prior to joining Standard Life Investments, Matt worked at a number of companies including MFS Investment Management and Gannett Welsh & Kotler.",Matt,0.5,"Standard Life Investments,",0.980392157
166608927,ING Investment Management,Naveen Bobba,vice_president,"Prior to joining PPM in 2014, Naveen was a vice president and senior equity analyst for ING Investment Management.",Naveen,0.727272727,ING Investment Management.,0.980392157
166608927,ING Investment Management,Naveen Bobba,analyst,"Prior to joining PPM in 2014, Naveen was a vice president and senior equity analyst for ING Investment Management.",Naveen,0.727272727,ING Investment Management.,0.980392157
166802664,GSCM,Geoffrey P. Mavar,other,"In September, 2001, Mr. Mavar co-founded GSCM, where he was a partner until October 2003.  ",Mr. Mavar,0.5,"GSCM,",0.888888889
166802664,"Chickasaw Securities, LLC",Geoffrey P. Mavar,other,"Mr. Mavar is the Chief Financial Officer of Chickasaw Securities, LLC.  ",Mr. Mavar,0.551724138,"Chickasaw Securities, LLC.",0.980392157
166802664,Goldman Sachs & Co,Geoffrey P. Mavar,vice_president,"Prior to co-founding the adviser in 2003, Mr. Mavar joined Goldman Sachs & Co. in 1990 and served as a Vice President until 2001.  ",Mr. Mavar,0.5,Goldman Sachs & Co.,0.972972973
166802664,"Chickasaw Securities, LLC",Matthew G. Mead,other,"Mr. Mead is the President of Chickasaw Securities, LLC, a subsidiary of the Adviser that is registered as a broker-dealer and a member of FINRA/SIPC.  ",Mr. Mead,0.538461538,"Chickasaw Securities, LLC,",0.980392157
