,releasedate,provider,producttype,productprice
0,2018年9月17日,山东东营华星石化,国五92#汽油,8850元/吨
1,2018年9月17日,山东东营华星石化,国五95#汽油,无报价
2,2018年9月17日,山东东营华星石化,国六92#汽油(高效),8900元/吨
3,2018年9月17日,山东东营华星石化,国五0#普柴,7800元/吨
4,2018年9月17日,山东东营华星石化,国五0#车柴,7900元/吨
5,2018年9月17日,山东东营华星石化,国六0#车柴,7900元/吨
6,2018年9月17日,山东东营华星石化,催柴,无报价
7,2018年9月17日,山东东营正和集团,国四90#汽油,无报价
8,2018年9月17日,山东东营正和集团,国四93#汽油,无报价
9,2018年9月17日,山东东营正和集团,国四97#汽油,无报价
10,2018年9月17日,山东东营正和集团,国六92#汽油,8850元/吨
11,2018年9月17日,山东东营正和集团,国六95#汽油,9000元/吨
12,2018年9月17日,山东东营正和集团,国五0#普通柴油,7830元/吨
13,2018年9月17日,山东东营正和集团,燃料油13#,7830元/吨
14,2018年9月17日,山东东营正和集团,国五0#车柴,7930元/吨
15,2018年9月17日,山东东营正和集团,国六0#车柴,7930元/吨
16,2018年9月17日,山东东营神驰炼厂,国六89#组分汽油,8700元/吨
17,2018年9月17日,山东东营神驰炼厂,国六92#汽油,8800元/吨
18,2018年9月17日,山东东营神驰炼厂,国六95#汽油,8900元/吨
19,2018年9月17日,山东东营神驰炼厂,普通0#柴油,无报价
20,2018年9月17日,山东东营神驰炼厂,国六-0#车柴,无报价
21,2018年9月17日,山东东营神驰炼厂,国六高标92#汽油,无报价
22,2018年9月17日,山东东营神驰炼厂,国六高标95#汽油,无报价
23,2018年9月17日,山东东营神驰炼厂,0#普柴,无报价
24,2018年9月17日,山东东营神驰炼厂,国六0#车柴,无报价
